itemcode,etfTabCode,itemname,섹터
102110,국내시장지수,TIGER 200,없음
273130,채권,KODEX 종합채권(AA-이상)액티브,없음
157450,채권,TIGER 단기통안채,없음
214980,채권,KODEX 단기채권PLUS,없음
272580,채권,TIGER 단기채권액티브,없음
133690,해외주식,TIGER 미국나스닥100,없음
226490,국내시장지수,KODEX 코스피,없음
251350,해외주식,KODEX 선진국MSCI World,없음
148070,채권,KOSEF 국고채10년,없음
273140,채권,KODEX 단기변동금리부채권액티브,없음
219480,해외주식,KODEX 미국S&P500선물(H),없음
292190,국내시장지수,KODEX KRX300,없음
360750,해외주식,TIGER 미국S&P500,없음
302190,채권,TIGER 중장기국채,없음
195930,해외주식,TIGER 유로스탁스50(합성 H),없음
156080,국내시장지수,KODEX MSCI Korea,없음
245360,해외주식,TIGER 차이나HSCEI,없음
136340,채권,KBSTAR 중기우량회사채,없음
130730,채권,KOSEF 단기자금,없음
305080,채권,TIGER 미국채10년선물,없음
245340,해외주식,TIGER 미국다우존스30,없음
99140,해외주식,KODEX China H,없음
329750,채권,TIGER 미국달러단기채권액티브,없음
276970,해외주식,KODEX 미국S&P고배당커버드콜(합성 H),없음
354500,국내시장지수,KINDEX 코스닥150,없음
304940,해외주식,KODEX 미국나스닥100선물(H),없음
332620,채권,ARIRANG 미국장기우량회사채,없음
304660,채권,KODEX 미국채울트라30년선물(H),없음
229720,국내시장지수,KODEX KTOP30,없음
195920,해외주식,TIGER 일본TOPIX(합성 H),없음
237350,국내시장지수,KODEX 코스피100,없음
208470,해외주식,SMART 선진국MSCI World(합성 H),없음
182490,채권,TIGER 단기선진하이일드(합성 H),없음
239660,채권,ARIRANG 우량회사채50 1년,없음
365040,국내시장지수,TIGER AI코리아그로스액티브,없음
245350,해외주식,TIGER 유로스탁스배당30,없음
241180,해외주식,TIGER 일본니케이225,없음
280930,해외주식,KODEX 미국러셀2000(H),없음
238720,해외주식,KINDEX 일본Nikkei225(H),없음
100910,국내시장지수,KOSEF KRX100,없음
364690,국내시장지수,KODEX 혁신기술테마액티브,없음
101280,해외주식,KODEX 일본TOPIX100,없음
298340,채권,ARIRANG 국채선물3년,없음
189400,해외주식,ARIRANG 글로벌MSCI(합성 H),없음
250730,해외주식,KBSTAR 차이나HSCEI(H),없음
251890,국내시장지수,KINDEX 코스닥(합성),없음
213630,해외주식,ARIRANG 미국다우존스고배당주(합성 H),없음
267440,해외주식,KBSTAR 미국장기국채선물(H),없음
342500,채권,KBSTAR KRX국채선물3년10년스티프너,없음
342610,채권,KBSTAR KRX국채선물3년10년플래트너,없음
226980,국내시장지수,KODEX 200 중소형,없음
291890,해외주식,KODEX MSCI EM선물(H),없음
295820,국내시장지수,ARIRANG 200동일가중,없음
102780,섹터,KODEX 삼성그룹,기타
139260,섹터,TIGER 200 IT,IT
305720,섹터,KODEX 2차전지산업,화학
364980,섹터,TIGER KRX2차전지K-뉴딜,화학
91170,섹터,KODEX 은행,금융
143860,섹터,TIGER 헬스케어,의약
91180,섹터,KODEX 자동차,운수장비
368190,섹터,HANARO Fn K-뉴딜디지털플러스,IT
364970,섹터,TIGER KRX바이오K-뉴딜,의약
91160,섹터,KODEX 반도체,전기전자
102970,섹터,KODEX 증권,금융
329200,섹터,TIGER 부동산인프라고배당,건설
157490,섹터,TIGER 소프트웨어,IT
365000,섹터,TIGER KRX인터넷K-뉴딜,IT
326240,섹터,KBSTAR IT플러스,IT
322400,섹터,HANARO e커머스,IT
91230,섹터,TIGER 반도체,전기전자
367760,섹터,KBSTAR Fn5G테크,전기전자
367770,섹터,KBSTAR Fn수소경제테마,화학
266360,섹터,KODEX 미디어&엔터테인먼트,IT
364990,섹터,TIGER KRX게임K-뉴딜,IT
139250,섹터,TIGER 200 에너지화학,화학
266370,섹터,KODEX IT,IT
138540,섹터,TIGER 현대차그룹+펀더멘털,운수장비
117700,섹터,KODEX 건설,건설
227540,섹터,TIGER 200 헬스케어,의약
300640,섹터,KBSTAR 게임테마,IT
139270,섹터,TIGER 200 금융,금융
244580,섹터,KODEX 바이오,의약
266410,섹터,KODEX 필수소비재,유통
266420,섹터,KODEX 헬스케어,의약
261060,섹터,TIGER 코스닥150IT,IT
368680,섹터,KODEX Fn K-뉴딜디지털플러스,IT
117460,섹터,KODEX 에너지화학,화학
315270,섹터,TIGER 200커뮤니케이션서비스,IT
367740,섹터,HANARO Fn5G산업,IT
285000,섹터,KBSTAR 200IT,IT
139230,섹터,TIGER 200 중공업,기계
139220,섹터,TIGER 200 건설,건설
300950,섹터,KODEX 게임산업,IT
140700,섹터,KODEX 보험,금융
157500,섹터,TIGER 증권,금융
117680,섹터,KODEX 철강,철강금속
261070,섹터,TIGER 코스닥150바이오테크,의약
102960,섹터,KODEX 기계장비,기계
139290,섹터,TIGER 200 경기소비재,유통
309210,섹터,ARIRANG KRX300헬스케어,의약
98560,섹터,TIGER 방송통신,통신
140710,섹터,KODEX 운송,운수창고
266390,섹터,KODEX 경기소비재,유통
253280,섹터,KBSTAR 헬스케어,의약
91220,섹터,TIGER 은행,금융
227560,섹터,TIGER 200 생활소비재,유통
287330,섹터,KBSTAR 200생활소비재,유통
284990,섹터,KBSTAR 200에너지화학,화학
227550,섹터,TIGER 200 산업재,운수창고
139240,섹터,TIGER 200 철강소재,철강금속
314700,섹터,HANARO 농업융복합산업,화학
285010,섹터,KBSTAR 200중공업,기계
309170,섹터,ARIRANG KRX300IT,IT
326230,섹터,KBSTAR 내수주플러스,기타
284980,섹터,KBSTAR 200금융,금융
287310,섹터,KBSTAR 200경기소비재,유통
315480,섹터,KBSTAR 200커뮤니케이션서비스,IT
285020,섹터,KBSTAR 200철강소재,철강금속
287300,섹터,KBSTAR 200건설,건설
287320,섹터,KBSTAR 200산업재,운수창고
